Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,2005,12,5.5,Y
IDCJAC0002,300000,2006,01,3.3,Y
IDCJAC0002,300000,2006,02,-0.8,Y
IDCJAC0002,300000,2006,03,-4.3,Y
IDCJAC0002,300000,2006,04,-5.9,Y
IDCJAC0002,300000,2006,05,-16.8,Y
IDCJAC0002,300000,2006,06,-12.4,Y
IDCJAC0002,300000,2006,07,-16.9,Y
IDCJAC0002,300000,2006,08,-11.8,Y
IDCJAC0002,300000,2006,09,-11.8,Y
IDCJAC0002,300000,2006,10,-9.6,Y
IDCJAC0002,300000,2006,11,-1.1,Y
IDCJAC0002,300000,2006,12,2.3,Y
IDCJAC0002,300000,2007,01,4.0,Y
IDCJAC0002,300000,2007,02,1.0,Y
IDCJAC0002,300000,2007,03,-5.0,Y
IDCJAC0002,300000,2007,04,-7.8,Y
IDCJAC0002,300000,2007,05,-6.8,Y
IDCJAC0002,300000,2007,06,-11.0,Y
IDCJAC0002,300000,2007,07,-8.7,Y
